gene_id,gene_name,gene_biotype,count
AT1G70650,null,protein_coding,0
AT1G70660,UEV1B,protein_coding,1
AT1G70670,PXG4,protein_coding,1
AT1G70680,PXG5,protein_coding,0
AT1G70690,CRRSP2,protein_coding,5
AT1G70700,JAZ9,protein_coding,5
AT1G70710,CEL1,protein_coding,7
AT1G70720,null,protein_coding,0
AT1G70730,PGM2,protein_coding,18
AT1G70740,null,protein_coding,5
AT1G70750,MYOB2,protein_coding,6
AT1G70760,ndhL,protein_coding,0
AT1G70770,null,protein_coding,19
AT1G70780,null,protein_coding,7
AT1G70790,CAR9,protein_coding,2
AT1G70800,CAR6,protein_coding,0
AT1G70810,CAR7,protein_coding,3
AT1G70820,null,protein_coding,7
AT1G70830,MLP28,protein_coding,28
AT1G70840,MLP31,protein_coding,0
AT1G70850,MLP34,protein_coding,130
AT1G70860,null,protein_coding,0
AT1G70870,null,protein_coding,0
AT1G70880,null,protein_coding,1
AT1G70890,MLP43,protein_coding,21
AT1G70895,CLE17,protein_coding,1
AT1G70900,null,protein_coding,3
AT1G70910,DEP,protein_coding,0
AT1G70920,ATHB-X,protein_coding,0
AT1G70940,PIN3,protein_coding,24
AT1G70944,null,protein_coding,0
AT1G70949,null,protein_coding,0
AT1G70950,WDL7,protein_coding,1
AT1G70960,null,protein_coding,11
AT1G70970,null,protein_coding,7
AT1G70980,SYNC3,protein_coding,1
AT1G70985,null,protein_coding,2
AT1G70990,null,protein_coding,1
AT1G71000,null,protein_coding,0
AT1G71002,MIR858A,miRNA,143
AT1G71010,FAB1C,protein_coding,43
AT1G71015,null,protein_coding,0
AT1G71020,PUB10,protein_coding,7
AT1G71030,ATMYBL2,protein_coding,28
AT1G71040,LPR2,protein_coding,9
AT1G71050,HIPP20,protein_coding,0
AT1G71060,null,protein_coding,0
AT1G71070,null,protein_coding,5
AT1G71080,null,protein_coding,1
AT1G71090,PILS2,protein_coding,10
AT1G71100,RPI1,protein_coding,3
AT1G71110,null,protein_coding,1
AT1G71120,GLIP6,protein_coding,0
AT1G71130,ERF070,protein_coding,4
AT1G71140,DTX14,protein_coding,1
AT1G71150,null,protein_coding,0
AT1G71160,KCS7,protein_coding,0
AT1G71170,null,protein_coding,5
AT1G71180,null,protein_coding,4
AT1G71190,SAG18,protein_coding,1
AT1G71200,null,protein_coding,0
AT1G71210,null,protein_coding,0
AT1G71220,EBS1,protein_coding,19
AT1G71230,CSN5B,protein_coding,0
AT1G71235,null,protein_coding,0
AT1G71240,null,protein_coding,3
AT1G71250,null,protein_coding,0
AT1G71260,WHY2,protein_coding,2
AT1G71270,VPS52,protein_coding,11
AT1G71280,RH55,protein_coding,0
AT1G71290,null,protein_coding,0
AT1G71300,null,protein_coding,0
AT1G71310,RAD52-1,protein_coding,3
AT1G71320,null,protein_coding,13
AT1G71330,NAP5,protein_coding,1
AT1G71340,GDPD4,protein_coding,2
AT1G71350,null,protein_coding,1
AT1G71360,null,protein_coding,0
AT1G71370,RH49,protein_coding,0
AT1G71380,CEL3,protein_coding,1
AT1G71390,AtRLP11,protein_coding,0
AT1G71400,RLP12,protein_coding,1
AT1G71410,null,protein_coding,8
AT1G71420,PCMP-H70,protein_coding,0
AT1G71430,null,protein_coding,1
AT1G71440,TFCE,protein_coding,1
AT1G71450,ERF021,protein_coding,0
AT1G71460,PCMP-A3,protein_coding,0
AT1G71470,null,protein_coding,0
AT1G71480,null,protein_coding,3
AT1G71490,PCMP-E67,protein_coding,1
AT1G71500,null,protein_coding,23
AT1G71520,ERF020,protein_coding,0
AT1G71528,null,lncRNA,1
AT1G71530,null,protein_coding,0
AT1G71680,null,protein_coding,0
AT1G71690,null,protein_coding,0
AT1G71691,null,protein_coding,0
AT1G71692,AGL12,protein_coding,22
AT1G71695,PER12,protein_coding,14
AT1G71696,SOL1,protein_coding,1
AT1G71697,CK1,protein_coding,9
AT1G71700,null,tRNA,0
AT1G71710,IP5P3,protein_coding,5
AT1G71720,null,protein_coding,5
AT1G71730,null,protein_coding,3
AT1G71740,null,protein_coding,0
AT1G71750,HGPT,protein_coding,0
AT1G71760,null,protein_coding,0
AT1G71770,PAB5,protein_coding,2
AT1G71780,null,protein_coding,0
AT1G71790,null,protein_coding,0
AT1G71800,CSTF64,protein_coding,3
AT1G71810,null,protein_coding,0
AT1G71820,SEC6,protein_coding,13
AT1G71828,null,lncRNA,0
AT1G71830,SERK1,protein_coding,3
AT1G71840,null,protein_coding,3
AT1G71850,null,protein_coding,2
AT1G71860,PTP1,protein_coding,2
AT1G71865,null,protein_coding,2
AT1G71866,EPFL7,protein_coding,0
AT1G71870,DTX54,protein_coding,1
AT1G71880,SUC1,protein_coding,13
AT1G71890,SUC5,protein_coding,7
AT1G71900,null,protein_coding,3
AT1G71910,null,protein_coding,1
AT1G71920,HISN6A,protein_coding,6
AT1G71930,NAC030,protein_coding,14
AT1G71940,null,protein_coding,0
AT1G71950,null,protein_coding,9
AT1G71960,ABCG25,protein_coding,0
AT1G71970,null,protein_coding,4
AT1G71980,RMR2,protein_coding,3
AT1G71990,FUT13,protein_coding,1
AT1G72000,INVF,protein_coding,0
AT1G72010,TCP22,protein_coding,3
AT1G72020,null,protein_coding,8
AT1G72030,null,protein_coding,4
AT1G72040,null,protein_coding,5
AT1G72050,TFIIIA,protein_coding,3
AT1G72060,null,protein_coding,0
AT1G72070,null,protein_coding,0
AT1G72080,null,protein_coding,0
AT1G72090,null,protein_coding,5
AT1G72100,null,protein_coding,3
AT1G72110,null,protein_coding,0
AT1G72120,NPF5.14,protein_coding,0
AT1G72125,NPF5.13,protein_coding,0
AT1G72130,NPF5.11,protein_coding,3
AT1G72140,NPF5.12,protein_coding,3
AT1G72141,null,protein_coding,0
AT1G72150,PATL1,protein_coding,105
AT1G72160,PATL3,protein_coding,19
AT1G72170,null,protein_coding,1
AT1G72175,null,protein_coding,2
AT1G72180,CEPR2,protein_coding,20
AT1G72190,null,protein_coding,0
AT1G72200,ATL11,protein_coding,3
AT1G72210,BHLH96,protein_coding,1
AT1G72220,ATL54,protein_coding,0
AT1G72230,null,protein_coding,0
AT1G72240,null,protein_coding,0
AT1G72250,null,protein_coding,3
AT1G72260,THI2.1,protein_coding,0
AT1G72270,null,protein_coding,0
AT1G72275,null,protein_coding,2
AT1G72280,AERO1,protein_coding,4
AT1G72290,WSCP,protein_coding,0
AT1G72300,PSY1R,protein_coding,7
AT1G72310,ATL3,protein_coding,3
AT1G72320,APUM23,protein_coding,3
AT1G72330,ALAAT2,protein_coding,2
AT1G72340,null,protein_coding,2
AT1G72350,null,protein_coding,0
AT1G72360,HRE1,protein_coding,3
AT1G72370,RPSAA,protein_coding,31
AT1G72390,PHL,protein_coding,9
AT1G72410,null,protein_coding,5
AT1G72416,null,protein_coding,1
AT1G72420,null,protein_coding,0
AT1G72430,SAUR78,protein_coding,6
AT1G72440,EDA25,protein_coding,6
AT1G72450,TIFY11B,protein_coding,4
AT1G72460,null,protein_coding,0
AT1G72470,ATEXO70D1,protein_coding,1
AT1G72480,null,protein_coding,6
AT1G72490,null,protein_coding,1
AT1G72500,null,protein_coding,1
AT1G72510,null,protein_coding,10
AT1G72520,LOX4,protein_coding,2
AT1G72530,null,protein_coding,0
AT1G72540,null,protein_coding,0
AT1G72545,null,protein_coding,0
AT1G72550,null,protein_coding,8
AT1G72560,PSD,protein_coding,4
AT1G72570,AIL1,protein_coding,0
AT1G72580,null,protein_coding,1
AT1G72590,PPRD1,protein_coding,0
AT1G72600,null,protein_coding,0
AT1G72610,GLP1,protein_coding,0
AT1G72620,null,protein_coding,0
AT1G72630,EFL2,protein_coding,4
AT1G72640,null,protein_coding,5
AT1G72645,null,protein_coding,2
AT1G72650,TRFL6,protein_coding,6
AT1G72660,DRG2,protein_coding,1
AT1G72670,iqd8,protein_coding,0
AT1G72680,CAD1,protein_coding,4
AT1G72690,null,protein_coding,2
AT1G72700,ALA5,protein_coding,15
AT1G72710,CKL2,protein_coding,22
AT1G72720,null,protein_coding,0
AT1G72730,TIF4A-3,protein_coding,4
AT1G72740,null,protein_coding,3
AT1G72750,TIM23-2,protein_coding,9
AT1G72755,null,protein_coding,0
AT1G72760,null,protein_coding,0
AT1G72770,HAB1,protein_coding,7
AT1G72780,null,tRNA,0
AT1G72790,null,protein_coding,10
AT1G72800,null,protein_coding,0
AT1G72810,TS2,protein_coding,4
AT1G72820,null,protein_coding,4
AT1G72830,HAP2C,protein_coding,5
AT1G72840,null,protein_coding,5
AT1G72850,null,protein_coding,0
AT1G72852,null,lncRNA,0
AT1G72855,null,lncRNA,0
AT1G72860,null,protein_coding,0
AT1G72870,null,protein_coding,0
AT1G72880,null,protein_coding,3
AT1G72890,null,protein_coding,2
AT1G72900,null,protein_coding,3
AT1G72910,null,protein_coding,0
AT1G72920,null,protein_coding,1
AT1G72930,TIR,protein_coding,2
AT1G72940,null,protein_coding,1
AT1G72950,null,protein_coding,1
AT1G72960,null,protein_coding,0
AT1G72970,HTH,protein_coding,13
AT1G72980,LBD7,protein_coding,0
AT1G72990,BGAL17,protein_coding,4
AT1G73000,PYL3,protein_coding,0
AT1G73010,PS2,protein_coding,52
AT1G73020,null,protein_coding,1
AT1G73030,CHMP1B,protein_coding,4
AT1G73040,JAL19,protein_coding,1
AT1G73050,null,protein_coding,0
AT1G73060,LPA3,protein_coding,1
AT1G73065,null,protein_coding,0
AT1G73066,null,protein_coding,1
AT1G73080,PEPR1,protein_coding,5
AT1G73090,null,protein_coding,0
AT1G73100,SUVH3,protein_coding,5
AT1G73110,null,protein_coding,0
AT1G73120,null,protein_coding,2
AT1G73130,null,protein_coding,2
AT1G73140,TBL31,protein_coding,0
AT1G73150,GTE3,protein_coding,1
AT1G73160,null,protein_coding,0
AT1G73165,CLE1,protein_coding,0
AT1G73170,null,protein_coding,14
AT1G73177,APC13,protein_coding,0
AT1G73180,null,protein_coding,5
AT1G73190,TIP3-1,protein_coding,0
AT1G73200,null,protein_coding,9
AT1G73210,null,protein_coding,1
AT1G73220,OCT1,protein_coding,17
AT1G73230,null,protein_coding,14
AT1G73240,null,protein_coding,0
AT1G73250,GER1,protein_coding,3
AT1G73260,KTI1,protein_coding,16
AT1G73270,SCPL6,protein_coding,0
AT1G73280,SCPL3,protein_coding,1
AT1G73290,SCPL5,protein_coding,1
AT1G73300,SCPL2,protein_coding,1
AT1G73310,SCPL4,protein_coding,0
AT1G73320,null,protein_coding,0
AT1G73325,null,protein_coding,0
AT1G73330,ATDR4,protein_coding,97
AT1G73340,null,protein_coding,0
AT1G73350,null,protein_coding,0
AT1G73360,HDG11,protein_coding,0
AT1G73370,SUS6,protein_coding,3
AT1G73380,null,protein_coding,3
AT1G73390,null,protein_coding,3
AT1G73400,null,protein_coding,1
AT1G73410,ATMYB54,protein_coding,0
AT1G73430,null,protein_coding,4
AT1G73440,null,protein_coding,1
AT1G73450,null,protein_coding,0
AT1G73460,null,protein_coding,2
AT1G73470,null,protein_coding,1
AT1G73480,null,protein_coding,0
AT1G73490,null,protein_coding,4
AT1G73500,MKK9,protein_coding,14
AT1G73510,null,protein_coding,0
AT1G73530,ORRM6,protein_coding,4
AT1G73540,NUDT21,protein_coding,8
AT1G73550,null,protein_coding,0
AT1G73560,null,protein_coding,0
AT1G73570,null,protein_coding,1
AT1G73580,CAR3,protein_coding,1
AT1G73590,PIN1,protein_coding,0
AT1G73600,null,protein_coding,4
AT1G73603,LCR64,protein_coding,0
AT1G73607,LCR65,protein_coding,0
AT1G73610,null,protein_coding,0
AT1G73620,null,protein_coding,3
AT1G73630,CML26,protein_coding,7
AT1G73640,RABA6A,protein_coding,0
AT1G73650,null,protein_coding,23
AT1G73655,FKBP17-3,protein_coding,12
AT1G73660,SIS8,protein_coding,10
AT1G73670,MPK15,protein_coding,1
AT1G73680,ALP,protein_coding,5
AT1G73687,MIR159A,miRNA,49105
AT1G73690,CDKD-1,protein_coding,1
AT1G73700,DTX17,protein_coding,0
AT1G73710,null,protein_coding,1
AT1G73720,SMU1,protein_coding,7
AT1G73730,EIL3,protein_coding,4
AT1G73740,null,protein_coding,3
AT1G73750,null,protein_coding,3
AT1G73760,null,protein_coding,3
AT1G73770,null,protein_coding,2
AT1G73780,null,protein_coding,0
AT1G73790,GIP2,protein_coding,0
AT1G73805,SARD1,protein_coding,1
AT1G73810,null,protein_coding,2
AT1G73820,null,protein_coding,4
AT1G73830,BEE3,protein_coding,9
AT1G73840,ESP1,protein_coding,1
AT1G73850,null,protein_coding,2
AT1G73860,KIN14P,protein_coding,1
AT1G73870,COL7,protein_coding,3
AT1G73875,CCR4-5,protein_coding,1
AT1G73880,UGT89B1,protein_coding,0
AT1G73885,null,protein_coding,11
AT1G73890,null,protein_coding,4
AT1G73900,null,tRNA,0
AT1G73910,ATARP4A,protein_coding,0
AT1G73920,null,protein_coding,9
AT1G73930,null,protein_coding,7
AT1G73940,null,protein_coding,3
AT1G73950,null,protein_coding,5
AT1G73960,TAF2,protein_coding,4
AT1G73965,CLE13,protein_coding,0
AT1G73970,null,protein_coding,6
AT1G73980,TTM1,protein_coding,3
AT1G73990,SPPA,protein_coding,0
AT1G74000,SSL11,protein_coding,1
AT1G74010,null,protein_coding,1
AT1G74020,SSL12,protein_coding,9
AT1G74030,ENO1,protein_coding,6
AT1G74035,null,protein_coding,0
AT1G74040,IPMS2,protein_coding,6
AT1G74045,TET17,protein_coding,0
AT1G74050,RPL6C,protein_coding,11
AT1G74055,null,protein_coding,0
AT1G74060,RPL6B,protein_coding,15
AT1G74070,CYP26-2,protein_coding,5
AT1G74080,MYB122,protein_coding,0
AT1G74088,null,protein_coding,0
AT1G74090,SOT18,protein_coding,30
AT1G74100,SOT16,protein_coding,31
AT1G74110,CYP78A10,protein_coding,0
AT1G74120,MTERF15,protein_coding,2
AT1G74130,RBL16,protein_coding,1
AT1G74140,RBL17,protein_coding,0
AT1G74150,null,protein_coding,0
AT1G74160,null,protein_coding,11
AT1G74170,AtRLP13,protein_coding,4
AT1G74180,AtRLP14,protein_coding,2
AT1G74190,AtRLP15,protein_coding,0
AT1G74200,AtRLP16,protein_coding,0
AT1G74205,null,lncRNA,0
AT1G74210,GDPD5,protein_coding,4
AT1G74220,null,protein_coding,0
AT1G74230,RBG5,protein_coding,7
AT1G74240,null,protein_coding,1
AT1G74250,JJJ1,protein_coding,3
AT1G74260,PUR4,protein_coding,14
AT1G74270,RPL35AC,protein_coding,2
AT1G74280,null,protein_coding,1
AT1G74290,null,protein_coding,2
AT1G74300,null,protein_coding,0
AT1G74310,CLPB1,protein_coding,3
AT1G74320,null,protein_coding,1
AT1G74330,null,protein_coding,6
AT1G74340,DPMS2,protein_coding,1
AT1G74350,null,protein_coding,0
AT1G74360,null,protein_coding,2
AT1G74370,null,protein_coding,1
AT1G74380,XXT5,protein_coding,6
AT1G74385,null,protein_coding,0
AT1G74390,NEN3,protein_coding,1
AT1G74400,PCMP-E68,protein_coding,0
AT1G74410,ATL24,protein_coding,0
AT1G74420,FUT3,protein_coding,0
AT1G74430,MYB95,protein_coding,0
AT1G74440,null,protein_coding,0
AT1G74450,null,protein_coding,3
AT1G74453,null,snoRNA,191
AT1G74456,null,snoRNA,368
AT1G74458,null,protein_coding,2
AT1G74460,null,protein_coding,3
AT1G74470,CHLP,protein_coding,156
AT1G74480,RKD2,protein_coding,0
AT1G74490,null,protein_coding,0
AT1G74500,PRE3,protein_coding,0
AT1G74510,null,protein_coding,5
AT1G74520,HVA22A,protein_coding,6
AT1G74530,null,protein_coding,3
AT1G74540,CYP98A8,protein_coding,0
AT1G74545,null,lncRNA,0
AT1G74550,CYP98A9,protein_coding,0
AT1G74560,NRP1,protein_coding,14
AT1G74570,null,tRNA,0
AT1G74580,null,protein_coding,0
AT1G74590,GSTU10,protein_coding,1
AT1G74600,PCMP-E69,protein_coding,0
AT1G74610,null,tRNA,0
AT1G74620,null,protein_coding,0
AT1G74630,null,protein_coding,0
AT1G74640,null,protein_coding,7
AT1G74650,ATY13,protein_coding,1
AT1G74660,MIF1,protein_coding,0
AT1G74670,GASA6,protein_coding,18
AT1G74675,null,protein_coding,2
AT1G74680,null,protein_coding,0
AT1G74690,IQD31,protein_coding,10
AT1G74700,TRZ1,protein_coding,0
AT1G74710,EDS16,protein_coding,5
AT1G74720,QKY,protein_coding,3
AT1G74730,null,protein_coding,7
AT1G74740,CPK30,protein_coding,3
AT1G74750,null,protein_coding,1
AT1G74770,null,protein_coding,0
AT1G74780,null,protein_coding,3
AT1G74790,HIPL1,protein_coding,6
AT1G74800,GALT5,protein_coding,2
AT1G74810,BOR5,protein_coding,0
AT1G74820,null,protein_coding,0
AT1G74830,MYOB6,protein_coding,0
AT1G74840,null,protein_coding,8
AT1G74850,PTAC2,protein_coding,3
AT1G74860,null,protein_coding,1
AT1G74870,null,protein_coding,3
AT1G74875,null,protein_coding,0
AT1G74880,ndhO,protein_coding,5
AT1G74890,ARR15,protein_coding,0
AT1G74900,OTP43,protein_coding,0
AT1G74910,null,protein_coding,19
AT1G74920,ALDH10A8,protein_coding,15
AT1G74929,null,protein_coding,0
AT1G74930,ERF018,protein_coding,1
AT1G74940,FLZ13,protein_coding,4
AT1G74950,TIFY10B,protein_coding,0
AT1G74960,KAS2,protein_coding,14
AT1G74970,RPS9,protein_coding,25
AT1G74990,null,protein_coding,0
AT1G75000,null,protein_coding,2
AT1G75010,ARC3,protein_coding,3
AT1G75020,LPAT4,protein_coding,2
AT1G75030,ATLP-3,protein_coding,0
AT1G75040,PR5,protein_coding,0
AT1G75050,null,protein_coding,1
AT1G75060,null,protein_coding,1
AT1G75070,null,tRNA,0
AT1G75080,BZR1,protein_coding,2
AT1G75090,null,protein_coding,0
AT1G75100,JAC1,protein_coding,10
AT1G75110,RRA2,protein_coding,1
AT1G75120,RRA1,protein_coding,3
AT1G75125,null,protein_coding,0
AT1G75130,CYP721A1,protein_coding,2
AT1G75140,null,protein_coding,5
AT1G75150,null,protein_coding,1
AT1G75160,null,protein_coding,1
AT1G75163,null,snoRNA,27
AT1G75166,null,snoRNA,384
AT1G75170,null,protein_coding,2
AT1G75180,null,protein_coding,5
AT1G75190,null,protein_coding,3
AT1G75200,TYW1,protein_coding,3
AT1G75210,null,protein_coding,4
AT1G75220,null,protein_coding,26
AT1G75230,null,protein_coding,1
AT1G75240,ZHD5,protein_coding,5
AT1G75250,ATRL6,protein_coding,0
AT1G75260,null,protein_coding,0
AT1G75270,DHAR2,protein_coding,3
AT1G75280,null,protein_coding,5
AT1G75290,null,protein_coding,0
AT1G75295,null,lncRNA,0
AT1G75300,null,protein_coding,0
AT1G75310,AUL1,protein_coding,10
AT1G75330,OTC,protein_coding,5
AT1G75335,null,protein_coding,2
AT1G75340,CG1,protein_coding,2
AT1G75350,RPL31,protein_coding,11
AT1G75360,null,protein_coding,0
AT1G75370,null,protein_coding,5
AT1G75380,BBD1,protein_coding,34
AT1G75390,BZIP44,protein_coding,0
AT1G75400,null,protein_coding,4
AT1G75410,BLH3,protein_coding,4
AT1G75420,null,protein_coding,1
AT1G75430,BLH11,protein_coding,0
AT1G75440,UBC16,protein_coding,3
AT1G75450,CKX5,protein_coding,0
AT1G75460,null,protein_coding,7
AT1G75470,PUP15,protein_coding,0
AT1G75490,DREB2D,protein_coding,1
AT1G75500,WAT1,protein_coding,23
AT1G75510,null,protein_coding,1
AT1G75520,SRS5,protein_coding,0
AT1G75530,null,protein_coding,0
AT1G75540,BBX21,protein_coding,7
AT1G75550,null,protein_coding,0
AT1G75560,null,protein_coding,5
AT1G75570,null,tRNA,0
AT1G75580,null,protein_coding,0
AT1G75590,null,protein_coding,1
AT1G75600,null,protein_coding,0
AT1G75620,null,protein_coding,2
AT1G75630,AVA-P4,protein_coding,7
AT1G75640,null,protein_coding,1
AT1G75650,null,tRNA,0
AT1G75660,XRN3,protein_coding,9
AT1G75670,null,protein_coding,1
AT1G75680,AtGH9B7,protein_coding,15
AT1G75690,LQY1,protein_coding,12
AT1G75700,HVA22G,protein_coding,0
AT1G75710,null,protein_coding,2
AT1G75717,null,protein_coding,0
AT1G75720,null,protein_coding,0
AT1G75730,null,protein_coding,6
AT1G75740,null,tRNA,1
AT1G75750,GASA1,protein_coding,74
AT1G75760,null,protein_coding,4
AT1G75770,null,protein_coding,0
AT1G75780,TUBB1,protein_coding,4
AT1G75785,null,protein_coding,0
AT1G75790,sks18,protein_coding,1
AT1G75800,null,protein_coding,18
AT1G75810,null,protein_coding,1
AT1G75820,CLV1,protein_coding,15
AT1G75830,PDF1.1,protein_coding,0
AT1G75840,ARAC5,protein_coding,4
AT1G75850,VPS35B,protein_coding,1
AT1G75860,null,protein_coding,2
AT1G75870,null,protein_coding,0
AT1G75880,EXL1,protein_coding,2
AT1G75890,null,protein_coding,0
AT1G75891,null,lncRNA,0
AT1G75900,EXL3,protein_coding,2
AT1G75910,EXL4,protein_coding,1
AT1G75920,null,protein_coding,0
AT1G75930,EXL6,protein_coding,0
AT1G75940,BGLU20,protein_coding,0
AT1G75945,null,protein_coding,2
AT1G75950,SKP1A,protein_coding,22
AT1G75960,AAE8,protein_coding,2
AT1G75970,null,tRNA,1
AT1G75980,null,protein_coding,1
AT1G75990,RPN3B,protein_coding,6
AT1G76000,null,tRNA,20
AT1G76010,null,protein_coding,11
AT1G76020,null,protein_coding,0
AT1G76030,VHA-B1,protein_coding,19
AT1G76040,CPK29,protein_coding,2
AT1G76050,null,protein_coding,1
AT1G76060,EMB1793,protein_coding,0
AT1G76062,MIR835A,miRNA,0
AT1G76065,null,protein_coding,3
AT1G76070,null,protein_coding,3
AT1G76080,CDSP32,protein_coding,64
AT1G76090,SMT3,protein_coding,24
AT1G76100,PETE1,protein_coding,27
AT1G76110,HMGB9,protein_coding,2
AT1G76120,null,protein_coding,2
AT1G76130,AMY2,protein_coding,1
AT1G76135,MIR394B,miRNA,5
AT1G76140,null,protein_coding,11
AT1G76150,ECH2,protein_coding,3
AT1G76160,sks5,protein_coding,27
AT1G76170,null,protein_coding,2
AT1G76180,ERD14,protein_coding,48
AT1G76185,null,protein_coding,2
AT1G76190,null,protein_coding,3
AT1G76200,null,protein_coding,4
AT1G76210,null,protein_coding,0
AT1G76220,null,protein_coding,1
AT1G76230,null,protein_coding,0
AT1G76240,null,protein_coding,2
AT1G76250,null,protein_coding,2
AT1G76260,DWA2,protein_coding,1
AT1G76270,OFUT16,protein_coding,1
AT1G76280,null,protein_coding,1
AT1G76290,AEE21,protein_coding,0
AT1G76300,SMD3A,protein_coding,1
AT1G76310,CYCB2;4,protein_coding,1
AT1G76320,FRS4,protein_coding,3
AT1G76330,null,tRNA,8
AT1G76340,GONST3,protein_coding,4
AT1G76350,NLP5,protein_coding,5
AT1G76360,null,protein_coding,2
AT1G76370,PBL22,protein_coding,0
AT1G76380,null,protein_coding,3
AT1G76390,PUB43,protein_coding,0
AT1G76400,OST1A,protein_coding,5
AT1G76405,OEP21B,protein_coding,1
AT1G76410,ATL8,protein_coding,4
AT1G76420,NAC031,protein_coding,1
AT1G76430,PHT1-9,protein_coding,1
AT1G76440,null,protein_coding,1
AT1G76450,PPD3,protein_coding,4
AT1G76460,null,protein_coding,4
AT1G76465,null,protein_coding,0
AT1G76470,null,protein_coding,0
AT1G76480,null,protein_coding,0
AT1G76490,HMG1,protein_coding,95
AT1G76500,AHL29,protein_coding,7
AT1G76510,null,protein_coding,3
AT1G76520,PILS3,protein_coding,5
AT1G76530,PILS4,protein_coding,0
AT1G76540,CDKB2-1,protein_coding,2
AT1G76550,PFP-ALPHA2,protein_coding,4
AT1G76560,CP12-3,protein_coding,1
AT1G76570,LHCB7,protein_coding,1
AT1G76580,null,protein_coding,10
AT1G76590,null,protein_coding,3
AT1G76600,null,protein_coding,0
AT1G76610,null,protein_coding,1
AT1G76620,null,protein_coding,0
AT1G76630,SKI3,protein_coding,3
AT1G76640,CML39,protein_coding,0
AT1G76650,CML38,protein_coding,3
AT1G76660,null,protein_coding,5
AT1G76670,URGT1,protein_coding,10
AT1G76680,OPR1,protein_coding,9
AT1G76690,OPR2,protein_coding,2
AT1G76700,ATJ10,protein_coding,4
AT1G76705,null,protein_coding,0
AT1G76710,ASHH1,protein_coding,5
AT1G76720,null,protein_coding,0
AT1G76728,null,protein_coding,1
AT1G76730,COG0212,protein_coding,4
AT1G76740,null,protein_coding,1
AT1G76750,EC1.1,protein_coding,0
AT1G76760,ATY1,protein_coding,0
AT1G76770,null,protein_coding,0
AT1G76780,null,protein_coding,3
AT1G76790,IGMT5,protein_coding,5
AT1G76800,null,protein_coding,2
AT1G76810,null,protein_coding,21
AT1G76820,null,nontranslating_CDS,1
AT1G76830,null,protein_coding,0
AT1G76840,null,protein_coding,0
AT1G76850,SEC5A,protein_coding,18
AT1G76860,LSM3B,protein_coding,3
AT1G76870,null,protein_coding,1
AT1G76878,null,lncRNA,0
AT1G76880,null,protein_coding,0
AT1G76890,GT-2,protein_coding,9
AT1G76892,null,lncRNA,0
AT1G76900,TULP1,protein_coding,8
AT1G76910,null,protein_coding,0
AT1G76920,SKIP15,protein_coding,2
AT1G76930,ATEXT4,protein_coding,37
AT1G76940,NSRA,protein_coding,2
AT1G76950,PRAF1,protein_coding,9
AT1G76952,IDL5,protein_coding,0
AT1G76954,null,protein_coding,0
AT1G76955,null,protein_coding,0
AT1G76960,null,protein_coding,0
AT1G76965,null,protein_coding,0
AT1G76970,TOL4,protein_coding,1
AT1G76980,null,protein_coding,2
AT1G76990,ACR3,protein_coding,62
AT1G76994,null,protein_coding,0
AT1G77000,SKP2B,protein_coding,2
AT1G77010,PCMP-E5,protein_coding,0
AT1G77020,null,protein_coding,1
AT1G77030,RH29,protein_coding,5
AT1G77040,null,tRNA,0
AT1G77060,null,protein_coding,6
AT1G77080,MAF1,protein_coding,5
AT1G77090,PPD4,protein_coding,3
AT1G77093,null,protein_coding,0
AT1G77100,PER13,protein_coding,0
AT1G77110,PIN6,protein_coding,0
AT1G77120,ADH1,protein_coding,2
AT1G77122,null,protein_coding,1
AT1G77130,GUX3,protein_coding,8
AT1G77138,null,ncRNA,0
AT1G77140,VPS45,protein_coding,3
AT1G77145,null,protein_coding,1
AT1G77150,null,protein_coding,0
AT1G77160,null,protein_coding,0
AT1G77170,PCMP-E21,protein_coding,0
AT1G77180,SKIP,protein_coding,22
AT1G77190,null,tRNA,1
AT1G77200,ERF037,protein_coding,0
AT1G77210,STP14,protein_coding,6
AT1G77220,null,protein_coding,1
AT1G77230,null,protein_coding,2
AT1G77235,MIR402,miRNA,97
AT1G77240,AEE4,protein_coding,0
AT1G77250,null,protein_coding,1
AT1G77260,null,protein_coding,4
AT1G77270,null,protein_coding,0
AT1G77280,null,protein_coding,2
AT1G77290,TCHQD,protein_coding,2
AT1G77300,EFS,protein_coding,4
AT1G77310,UBN2,protein_coding,0
AT1G77320,MEI1,protein_coding,1
AT1G77330,null,protein_coding,3
AT1G77340,null,protein_coding,0
AT1G77350,null,protein_coding,4
AT1G77360,null,protein_coding,1
AT1G77370,null,protein_coding,3
AT1G77380,AAP3,protein_coding,1
AT1G77390,CYCA1-2,protein_coding,1
AT1G77400,null,protein_coding,1
AT1G77405,null,protein_coding,0
AT1G77410,BGAL16,protein_coding,0
AT1G77420,null,protein_coding,0
AT1G77440,PBC2,protein_coding,7
AT1G77450,NAC032,protein_coding,1
AT1G77460,CSI3,protein_coding,4
AT1G77470,RFC5,protein_coding,1
AT1G77480,null,protein_coding,8
AT1G77490,APXT,protein_coding,8
AT1G77500,null,protein_coding,10
AT1G77510,PDIL1-2,protein_coding,14
AT1G77520,null,protein_coding,6
AT1G77525,null,protein_coding,0
AT1G77530,null,protein_coding,2
AT1G77540,null,protein_coding,0
AT1G77550,null,protein_coding,6
AT1G77560,null,tRNA,2
AT1G77570,null,protein_coding,0
