gene_id,gene_name,gene_biotype,count
AT1G02540,null,protein_coding,0
AT1G02550,null,protein_coding,0
AT1G02560,CLPP5,protein_coding,19
AT1G02570,null,protein_coding,0
AT1G02575,null,protein_coding,0
AT1G02580,MEA,protein_coding,0
AT1G02590,null,protein_coding,0
AT1G02600,null,tRNA,0
AT1G02610,null,protein_coding,2
AT1G02620,null,protein_coding,0
AT1G02630,ETN8,protein_coding,1
AT1G02640,BXL2,protein_coding,16
AT1G02650,null,protein_coding,1
AT1G02660,PLIP2,protein_coding,30
AT1G02670,null,protein_coding,1
AT1G02680,TAF13,protein_coding,2
AT1G02690,IMPA-6,protein_coding,2
AT1G02700,null,protein_coding,0
AT1G02705,null,protein_coding,0
AT1G02710,null,protein_coding,0
AT1G02720,GATL5,protein_coding,0
AT1G02730,CSLD5,protein_coding,5
AT1G02740,MRG2,protein_coding,2
AT1G02750,DI19-2,protein_coding,0
AT1G02760,null,tRNA,0
AT1G02770,null,protein_coding,0
AT1G02780,RPL19A,protein_coding,65
AT1G02790,PGA3,protein_coding,0
AT1G02800,CEL2,protein_coding,0
AT1G02810,PME7,protein_coding,5
AT1G02813,null,protein_coding,0
AT1G02816,null,protein_coding,5
AT1G02820,LEA2,protein_coding,1
AT1G02830,RPL22A,protein_coding,0
AT1G02840,SR34,protein_coding,8
AT1G02850,BGLU11,protein_coding,3
AT1G02860,BAH1,protein_coding,20
AT1G02870,null,protein_coding,3
AT1G02880,TPK1,protein_coding,2
AT1G02890,null,protein_coding,18
AT1G02900,RALF1,protein_coding,2
AT1G02910,LPA1,protein_coding,2
AT1G02920,GSTF7,protein_coding,3
AT1G02930,GSTF6,protein_coding,3
AT1G02940,ATGSTF5,protein_coding,0
AT1G02950,ATGSTF4,protein_coding,0
AT1G02952,null,lncRNA,0
AT1G02960,null,protein_coding,1
AT1G02965,null,protein_coding,0
AT1G02970,WEE1,protein_coding,1
AT1G02980,CUL2,protein_coding,0
AT1G02990,null,protein_coding,4
AT1G03000,PEX6,protein_coding,3
AT1G03010,null,protein_coding,2
AT1G03020,GRXS1,protein_coding,0
AT1G03030,null,protein_coding,1
AT1G03040,null,protein_coding,3
AT1G03050,null,protein_coding,0
AT1G03055,D27,protein_coding,0
AT1G03060,SPI,protein_coding,19
AT1G03070,LFG4,protein_coding,1
AT1G03080,NET1D,protein_coding,16
AT1G03090,MCCA,protein_coding,19
AT1G03100,null,protein_coding,0
AT1G03103,null,protein_coding,0
AT1G03106,null,protein_coding,0
AT1G03110,TRM82,protein_coding,1
AT1G03120,ATRAB28,protein_coding,2
AT1G03130,PSAD2,protein_coding,119
AT1G03140,null,protein_coding,6
AT1G03150,NAA20,protein_coding,2
AT1G03160,FZL,protein_coding,5
AT1G03165,null,protein_coding,0
AT1G03170,FAF2,protein_coding,1
AT1G03180,null,protein_coding,0
AT1G03190,XPD,protein_coding,1
AT1G03200,null,protein_coding,1
AT1G03210,null,protein_coding,1
AT1G03220,null,protein_coding,32
AT1G03230,null,protein_coding,4
AT1G03240,null,protein_coding,19
AT1G03250,null,protein_coding,6
AT1G03260,null,protein_coding,1
AT1G03270,CBSDUF4,protein_coding,0
AT1G03280,null,protein_coding,2
AT1G03290,null,protein_coding,7
AT1G03300,DUF1,protein_coding,0
AT1G03310,ISA2,protein_coding,6
AT1G03320,null,protein_coding,0
AT1G03325,null,protein_coding,0
AT1G03330,LSM2,protein_coding,2
AT1G03340,null,protein_coding,1
AT1G03350,null,protein_coding,6
AT1G03360,RRP4,protein_coding,0
AT1G03365,RF4,protein_coding,4
AT1G03370,null,protein_coding,10
AT1G03380,ATG18G,protein_coding,4
AT1G03390,null,protein_coding,0
AT1G03395,null,protein_coding,0
AT1G03400,null,protein_coding,3
AT1G03410,2A6,protein_coding,0
AT1G03430,AHP5,protein_coding,1
AT1G03440,null,protein_coding,8
AT1G03445,BSU1,protein_coding,1
AT1G03457,null,protein_coding,0
AT1G03470,NET3A,protein_coding,2
AT1G03475,CPX1,protein_coding,12
AT1G03490,NAC006,protein_coding,0
AT1G03495,null,protein_coding,0
AT1G03502,null,snoRNA,0
AT1G03506,null,snoRNA,1
AT1G03510,PCMP-E3,protein_coding,0
AT1G03515,null,tRNA,0
AT1G03520,null,protein_coding,3
AT1G03530,ATNAF1,protein_coding,1
AT1G03540,PCMP-E4,protein_coding,4
AT1G03545,null,lncRNA,1
AT1G03550,SCAMP2,protein_coding,0
AT1G03560,null,protein_coding,2
AT1G03570,null,tRNA,2
AT1G03590,PPC6-6,protein_coding,8
AT1G03600,PSB27-1,protein_coding,60
AT1G03610,null,protein_coding,6
AT1G03620,null,protein_coding,1
AT1G03630,PORC,protein_coding,11
AT1G03640,null,tRNA,0
AT1G03650,null,protein_coding,0
AT1G03660,null,protein_coding,0
AT1G03670,null,protein_coding,0
AT1G03680,ATHM1,protein_coding,17
AT1G03687,null,protein_coding,1
AT1G03700,null,protein_coding,1
AT1G03710,null,protein_coding,0
AT1G03720,null,protein_coding,0
AT1G03730,null,protein_coding,5
AT1G03740,null,protein_coding,9
AT1G03743,null,snoRNA,78
AT1G03746,null,snoRNA,24
AT1G03750,SWI2,protein_coding,2
AT1G03760,null,protein_coding,3
AT1G03770,RING1B,protein_coding,4
AT1G03780,TPX2,protein_coding,1
AT1G03790,SOM,protein_coding,0
AT1G03800,ERF10,protein_coding,0
AT1G03810,null,protein_coding,56
AT1G03820,null,protein_coding,2
AT1G03830,null,protein_coding,6
AT1G03840,MGP,protein_coding,0
AT1G03850,null,protein_coding,7
AT1G03860,PHB2,protein_coding,10
AT1G03870,FLA9,protein_coding,63
AT1G03880,CRB,protein_coding,1
AT1G03890,CRD,protein_coding,2
AT1G03900,ATNAP4,protein_coding,11
AT1G03905,ABCI19,protein_coding,1
AT1G03910,CTN,protein_coding,7
AT1G03920,null,protein_coding,0
AT1G03930,CKL9,protein_coding,6
AT1G03935,null,snoRNA,0
AT1G03940,3AT1,protein_coding,1
AT1G03950,VPS2.3,protein_coding,1
AT1G03960,B''EPSILON,protein_coding,1
AT1G03970,GBF4,protein_coding,4
AT1G03980,ATPCS2,protein_coding,0
AT1G03982,RIC8,protein_coding,0
AT1G03987,null,lncRNA,0
AT1G03990,FAO1,protein_coding,0
AT1G03993,null,lncRNA,0
AT1G03997,null,lncRNA,0
AT1G04000,null,protein_coding,4
AT1G04003,null,lncRNA,0
AT1G04007,null,lncRNA,0
AT1G04010,PSAT,protein_coding,0
AT1G04013,null,lncRNA,0
AT1G04017,null,lncRNA,0
AT1G04020,ATBARD1,protein_coding,1
AT1G04023,null,lncRNA,0
AT1G04027,null,miRNA,8
AT1G04030,null,protein_coding,1
AT1G04033,null,lncRNA,0
AT1G04037,null,lncRNA,0
AT1G04040,null,protein_coding,14
AT1G04043,null,lncRNA,0
AT1G04047,null,lncRNA,1
AT1G04050,SUVR1,protein_coding,0
AT1G04053,null,lncRNA,0
AT1G04057,null,ncRNA,0
AT1G04063,null,lncRNA,36
AT1G04067,null,lncRNA,0
AT1G04070,TOM9-1,protein_coding,4
AT1G04073,null,lncRNA,0
AT1G04077,null,lncRNA,0
AT1G04080,PRP39,protein_coding,11
AT1G04083,null,lncRNA,0
AT1G04087,null,lncRNA,0
AT1G04090,null,protein_coding,0
AT1G04093,null,lncRNA,0
